TEST0001;Vert;1;10000;27-11-2011 12:00:00;
TEST0002;Rouge;2;20000;27-11-2011 12:30:00;
TEST0003;Rouge;2;20000;27-11-2011 13:00:00;
TEST0004;Rouge;2;20000;27-11-2011 13:15:00;
TEST0005;Vert;2;30000;27-11-2011 14:00:00;
TEST0006;Rouge;3;30000;28-11-2011 10:00:00;
TEST0007;Vert;4;30000;28-11-2011 10:10:00;
TEST0008;Vert;5;40000;28-11-2011 10:20:00;
TEST0009;Vert;6;40000;28-11-2011 10:30:00;
TEST0010;Vert;7;50000;28-11-2011 10:40:00;
TEST0011;Rouge;7;50000;28-11-2011 14:00:00;
TEST0012;Rouge;7;50000;28-11-2011 14:30:00;
TEST0013;Rouge;7;50000;28-11-2011 15:00:00;
TEST0014;Vert;8;50000;28-11-2011 16:00:00;
TEST0015;Vert;15;60000;29-11-2011 10:00:00;
TEST0016;Rouge;20;120000;29-11-2011 11:30:00;
TEST0017;Vert;25;120000;29-11-2011 12:00:00;
TEST0018;Vert;30;180000;29-11-2011 12:30:00;
TEST0019;Vert;35;120000;29-11-2011 12:45:00;
TEST0020;Vert;40;240000;29-11-2011 13:00:00;
TEST0021;Rouge;45;240000;29-11-2011 14:00:00;
TEST0022;Rouge;45;240000;29-11-2011 14:15:00;
TEST0023;Rouge;45;240000;29-11-2011 14:30:00;
TEST0024;Rouge;45;240000;29-11-2011 15:00:00;
TEST0025;Vert;45;240000;29-11-2011 16:00:00;
